iter	Passed	Remaining
0	5	1864
1	8	1515
2	11	1261
3	13	1161
4	16	1075
5	18	1006
6	21	1012
7	23	973
8	25	941
9	27	924
10	30	901
11	33	908
12	37	957
13	41	967
14	44	971
15	48	989
16	51	980
17	56	1006
18	58	984
19	62	1002
20	65	999
21	68	993
22	70	978
23	73	969
24	75	960
25	78	946
26	80	938
27	83	929
28	85	921
29	89	924
30	92	921
31	96	932
32	98	921
33	101	919
34	103	909
35	106	898
36	109	897
37	111	886
38	113	881
39	116	876
40	119	871
41	123	876
42	125	872
43	129	871
44	131	865
45	134	860
46	136	855
47	139	848
48	141	844
49	144	838
50	146	832
51	149	830
52	152	826
53	155	828
54	158	824
55	160	819
56	163	814
57	166	812
58	168	806
59	171	801
60	173	796
61	175	791
62	178	786
63	181	783
64	183	780
65	186	778
66	190	778
67	193	776
68	197	776
69	199	771
70	201	766
71	203	761
72	206	756
73	208	752
74	210	747
75	213	745
76	216	740
77	218	736
78	220	731
79	222	726
80	226	726
81	230	727
82	233	725
83	236	723
84	238	719
85	241	715
86	243	710
87	246	707
88	248	703
89	250	699
90	253	695
91	255	690
92	257	687
93	260	683
94	263	681
95	266	679
96	269	678
97	272	676
98	274	672
99	277	668
100	279	664
101	282	661
102	284	656
103	286	652
104	288	648
105	290	644
106	292	640
107	295	636
108	297	633
109	300	631
110	303	628
111	305	624
112	307	620
113	309	617
114	311	613
115	313	608
116	316	605
117	318	601
118	320	597
119	322	593
120	326	592
121	328	590
122	331	586
123	333	583
124	335	579
125	337	575
126	339	572
127	342	569
128	344	565
129	346	562
130	348	558
131	350	555
132	353	552
133	357	551
134	359	548
135	361	544
136	363	541
137	365	537
138	367	534
139	369	530
140	371	527
141	374	524
142	376	521
143	378	517
144	380	514
145	383	511
146	386	509
147	388	506
148	390	503
149	392	499
150	395	497
151	397	493
152	399	490
153	401	487
154	403	484
155	406	481
156	408	479
157	410	475
158	413	473
159	416	471
160	419	468
161	421	466
162	424	463
163	426	460
164	429	457
165	431	455
166	433	452
167	436	449
168	439	447
169	441	444
170	444	442
171	447	440
172	449	436
173	452	434
174	455	431
175	457	429
176	459	426
177	461	423
178	464	420
179	466	417
180	469	414
181	472	412
182	475	410
183	478	407
184	480	405
185	482	402
186	485	399
187	487	396
188	490	394
189	492	391
190	494	388
191	496	385
192	500	383
193	503	381
194	515	386
195	518	383
196	520	380
197	523	377
198	525	374
199	527	372
200	529	368
201	532	366
202	534	363
203	537	360
204	539	357
205	541	355
206	545	352
207	548	350
208	550	347
209	554	345
210	556	342
211	558	340
212	561	337
213	563	334
214	565	331
215	568	328
216	570	325
217	573	323
218	575	320
219	578	317
220	581	315
221	583	312
222	586	310
223	589	307
224	591	304
225	593	302
226	595	299
227	598	296
228	600	293
229	602	290
230	605	288
231	607	285
232	609	282
233	611	279
234	614	276
235	616	274
236	618	271
237	620	268
238	622	265
239	625	263
240	628	260
241	630	258
242	633	255
243	635	252
244	637	249
245	639	246
246	641	244
247	643	241
248	646	238
249	648	235
250	650	233
251	652	230
252	654	227
253	656	224
254	658	222
255	661	219
256	664	217
257	666	214
258	668	211
259	671	209
260	673	206
261	675	203
262	677	200
263	679	198
264	682	195
265	684	192
266	686	190
267	688	187
268	691	184
269	693	182
270	695	179
271	698	177
272	700	174
273	702	171
274	705	169
275	707	166
276	710	164
277	712	161
278	715	158
279	717	156
280	719	153
281	721	151
282	724	148
283	726	145
284	728	143
285	731	140
286	733	137
287	735	135
288	737	132
289	740	130
290	742	127
291	745	125
292	747	122
293	750	119
294	752	117
295	754	114
296	757	112
297	759	109
298	761	107
299	764	104
300	766	101
301	768	99
302	770	96
303	772	94
304	775	91
305	777	88
306	780	86
307	782	83
308	784	81
309	786	78
310	789	76
311	792	73
312	794	71
313	797	68
314	799	65
315	801	63
316	804	60
317	807	58
318	810	55
319	813	53
320	815	50
321	817	48
322	821	45
323	824	43
324	827	40
325	829	38
326	833	35
327	835	33
328	838	30
329	841	28
330	843	25
331	846	22
332	848	20
333	850	17
334	853	15
335	855	12
336	857	10
337	859	7
338	863	5
339	864	2
340	867	0
